state,visited
Alabama,0
Alaska,0
Arkansas,1
Arizona,1
California,1
Colorado,2
Connecticut,1
Delaware,1
Florida,1
Georgia,1
Hawaii,1
Iowa,2
Idaho,2
Illinois,2
Indiana,1
Kansas,1
Kentucky,1
Louisiana,1
Maine,1
Maryland,1
Massachusetts,2
Michigan,1
Minnesota,1
Missouri,1
Mississippi,1
Montana,1
North Carolina,1
North Dakota,1
Nebraska,1
New Hampshire,1
New Jersey,1
New Mexico,1
Nevada,1
New York,1
Ohio,1
Oklahoma,1
Oregon,1
Pennsylvania,1
Rhode Island,2
South Carolina,1
South Dakota,1
Tennessee,1
Texas,1
Utah,1
Virginia,1
Vermont,1
Washington,1
Wisconsin,1
West Virginia,1
Wyoming,2

